-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                                                                    Marker lineage           # genomes   # markers   # marker sets   0     1    2    3   4   5+   Completeness   Contamination   Strain heterogeneity  
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  GCF_900236505.1_NRRL3882_genomic                                  f__Streptomycetaceae (UID2048)       60         460           233        0    460   0    0   0   0       100.00           0.00               0.00          
  GCF_900236475.1_NRRL3882_genomic                                  f__Streptomycetaceae (UID2048)       60         460           233        0    460   0    0   0   0       100.00           0.00               0.00          
  GCF_900215615.1_IMG-taxon_2738541359_annotated_assembly_genomic   f__Streptomycetaceae (UID2048)       60         460           233        0    459   1    0   0   0       100.00           0.21              100.00         
  GCF_900215595.1_IMG-taxon_2728369725_annotated_assembly_genomic   f__Streptomycetaceae (UID2048)       60         460           233        0    460   0    0   0   0       100.00           0.00               0.00          
  GCF_900206255.1_IMG-taxon_2739368069_annotated_assembly_genomic   f__Streptomycetaceae (UID2048)       60         460           233        0    452   8    0   0   0       100.00           2.01              12.50          
  GCF_900187385.1_IMG-taxon_2731639226_annotated_assembly_genomic     g__Streptomyces (UID2052)          52         563           281        0    559   4    0   0   0       100.00           0.93               0.00          
  GCF_900105915.1_IMG-taxon_2687453724_annotated_assembly_genomic     g__Streptomyces (UID2052)          52         563           281        0    559   4    0   0   0       100.00           0.93               0.00          
  GCF_900105775.1_IMG-taxon_2684623030_annotated_assembly_genomic     g__Streptomyces (UID2052)          52         563           281        0    558   5    0   0   0       100.00           1.05               0.00          
  GCF_900105265.1_IMG-taxon_2675903008_annotated_assembly_genomic   f__Streptomycetaceae (UID2048)       60         460           233        0    457   3    0   0   0       100.00           1.07               0.00          
  GCF_900104815.1_IMG-taxon_2634166373_annotated_assembly_genomic   f__Streptomycetaceae (UID2048)       60         460           233        0    457   3    0   0   0       100.00           0.38               0.00          
  GCF_900079415.1_Streptomyces_sp._F7_genomic                       f__Streptomycetaceae (UID2048)       60         460           233        0    460   0    0   0   0       100.00           0.00               0.00          
  GCF_019090105.1_ASM1909010v1_genomic                              f__Streptomycetaceae (UID2048)       60         460           233        0    456   4    0   0   0       100.00           1.07               0.00          
  GCF_019049285.1_ASM1904928v1_genomic                              f__Streptomycetaceae (UID2048)       60         460           233        0    460   0    0   0   0       100.00           0.00               0.00          
  GCF_019049125.1_ASM1904912v1_genomic                              f__Streptomycetaceae (UID2048)       60         460           233        0    456   3    1   0   0       100.00           1.22              50.00          
