Number of species	295
Number of genes	2140169
Number of genes in orthogroups	2120506
Number of unassigned genes	19663
Percentage of genes in orthogroups	99.1
Percentage of unassigned genes	0.9
Number of orthogroups	28900
Number of species-specific orthogroups	428
Number of genes in species-specific orthogroups	1019
Percentage of genes in species-specific orthogroups	0.0
Mean orthogroup size	73.4
Median orthogroup size	9.0
G50 (assigned genes)	294
G50 (all genes)	294
O50 (assigned genes)	2336
O50 (all genes)	2370
Number of orthogroups with all species present	463
Number of single-copy orthogroups	137
Date	2023-09-16
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	26605	92.1	1072193	50.6
'1	1938	6.7	705617	33.3
'2	222	0.8	156422	7.4
'3	62	0.2	61070	2.9
'4	41	0.1	53396	2.5
'5	12	0.0	19840	0.9
'6	10	0.0	19411	0.9
'7	3	0.0	6524	0.3
'8	2	0.0	4777	0.2
'9	2	0.0	5710	0.3
'10	0	0.0	0	0.0
11-15	0	0.0	0	0.0
16-20	3	0.0	15546	0.7
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	428
2	4955
3	2744
4	1894
5	1517
6	1185
7	864
8	763
9	624
10	523
11	494
12	437
13	390
14	337
15	327
16	259
17	263
18	241
19	229
20	205
21	186
22	217
23	177
24	181
25	162
26	131
27	139
28	128
29	119
30	111
31	110
32	103
33	97
34	101
35	87
36	83
37	79
38	87
39	62
40	75
41	82
42	74
43	76
44	63
45	71
46	61
47	68
48	54
49	57
50	69
51	49
52	39
53	44
54	44
55	63
56	52
57	53
58	48
59	44
60	40
61	31
62	52
63	43
64	34
65	41
66	35
67	36
68	31
69	33
70	48
71	28
72	29
73	40
74	33
75	29
76	24
77	23
78	31
79	28
80	20
81	32
82	29
83	27
84	32
85	26
86	24
87	19
88	17
89	25
90	29
91	25
92	28
93	23
94	15
95	19
96	23
97	19
98	31
99	24
100	19
101	17
102	23
103	16
104	24
105	26
106	17
107	19
108	17
109	11
110	19
111	20
112	27
113	22
114	23
115	19
116	20
117	14
118	17
119	20
120	17
121	11
122	18
123	19
124	20
125	29
126	21
127	17
128	20
129	22
130	14
131	19
132	20
133	24
134	16
135	21
136	17
137	21
138	23
139	24
140	12
141	17
142	19
143	20
144	18
145	16
146	18
147	15
148	17
149	17
150	15
151	18
152	8
153	11
154	13
155	20
156	8
157	12
158	11
159	17
160	10
161	15
162	17
163	12
164	20
165	9
166	13
167	10
168	17
169	10
170	20
171	18
172	18
173	10
174	26
175	14
176	11
177	17
178	15
179	16
180	12
181	13
182	11
183	15
184	12
185	17
186	15
187	8
188	15
189	18
190	16
191	13
192	13
193	15
194	9
195	16
196	10
197	11
198	14
199	11
200	6
201	12
202	12
203	18
204	8
205	21
206	14
207	13
208	22
209	10
210	9
211	15
212	18
213	11
214	16
215	16
216	15
217	8
218	10
219	17
220	10
221	11
222	10
223	13
224	13
225	9
226	15
227	8
228	19
229	17
230	12
231	15
232	13
233	17
234	13
235	10
236	14
237	7
238	15
239	17
240	21
241	20
242	14
243	11
244	20
245	15
246	16
247	18
248	17
249	13
250	21
251	16
252	10
253	21
254	19
255	23
256	18
257	14
258	15
259	24
260	21
261	23
262	22
263	23
264	17
265	24
266	21
267	22
268	27
269	25
270	20
271	20
272	34
273	28
274	26
275	24
276	38
277	29
278	40
279	50
280	51
281	44
282	50
283	69
284	71
285	69
286	80
287	92
288	110
289	120
290	165
291	165
292	220
293	289
294	385
295	463
